objectID,primaryImageLink,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
446773,https://images.metmuseum.org/CRDImages/is/original/DP-14795-006.jpg, What is the name of the art?, Head Ornament, From what century is the art from?, 19th century, What materials is the art made from?," Gold, glass, and turquoise", Where was the art formerly located?, In the collection of American artist and designer Lockwood de Forest
453983,https://images.metmuseum.org/CRDImages/is/original/DP299944.jpg, What is the name of the art?, Panel of Nasta'liq Calligraphy, Who created the art?, Sayyid Amir 'Ali, When was the art created?, mid-17th century, What materials were used to create the art?, Black ink on marbled paper
659905,https://images.metmuseum.org/CRDImages/is/original/DP-13343-012.jpg, Who designed the Cutout?, Lockwood de Forest, When was the Cutout created?, ca. 1892, What inspired the design of the Cutout?," Indian arts and crafts, specifically examples found in wood, plaster, and stone in Indian architecture", What was the intended use of the Cutout?, As ornament on architecture or furniture
446635,https://images.metmuseum.org/CRDImages/is/original/DP330658.jpg, What type of object is being described?, Carpet, What is the title of the carpet?," '""Millefleur"" Carpet'", When was the carpet likely produced?, Probably 18th century, What materials were used to create the carpet?," Cotton (warp and weft), wool (pile)"
451270,https://images.metmuseum.org/CRDImages/is/original/DP246547.jpg, Who is the artist of the artwork?, Chitarman, What is the medium used in the artwork?," Ink, opaque watercolor, and gold on paper", What is the time period of the artwork?, Recto: Dated 1627–28; Verso: Ca. 1530–50, What is the subject matter of the artwork?," Emperor Shah Jahan standing on a terrace, holding a pendant with his portrait"
500757,https://images.metmuseum.org/CRDImages/mi/original/MUS767A.jpg, What is the name of the art?, Rankinkan, What type of instrument is the art?, Idiophone-Shaken-crotal bell, What is the main material used to create the art?, Iron, What is the approximate diameter of the bell's frame?, 25.4 cm (10 in.)
454601,https://images.metmuseum.org/CRDImages/is/original/sf2003-271a.jpg, What is the name of the art piece?, Base for a Water Pipe (Huqqa) with Poetry and Flowers, When was the art piece created?, early 18th century, What is the medium used in the art piece?," Zinc alloy; cast, engraved, inlaid with silver and brass (bidri ware)", What is unique about the decoration on the art piece?," The inlaid brass and silver decoration includes Persian verses praising tobacco in nasta‘liq script, making it an unusual piece with inlaid calligraphy in bidri ware."
446731,https://images.metmuseum.org/CRDImages/is/original/15_95_32_1.jpg, What type of object is described in the text?, Bracelet, When was the bracelet made?, 19th century, What material is the bracelet made from?, Gold, What unique feature does the bracelet possess?, It has two facing makara or dragon heads that serve as its clasp and jingle when the bracelet is moved.
444854,https://images.metmuseum.org/CRDImages/is/original/LC-99_35_2375.jpg, What is the name of the art artifact?, Portrait Coin of the Emperor Jahangir, When was the coin issued?, 1023 AH/1614 CE, What material was used to make the coin?, Gold, Who issued the coin?, Emperor Jahangir
838357,https://images.metmuseum.org/CRDImages/is/original/LC-2019_566overall.jpg, What is the name of the art piece?, Shawl, To what century does the Shawl belong?, 19th century, What material is used to make the Shawl?, Wool, What influenced the popularity of shawls in Europe?," The sophisticated male dress of the Mughal court and the fashion trends of the ""Empire"" era."
456968,https://images.metmuseum.org/CRDImages/is/original/DP273292.jpg, What is the name of the artwork?, A Nobleman Reading, What is the medium of the artwork?, Opaque watercolor on paper, What is the size of the painting without the frame?, H. 8 11/16 in. (22 cm) x W. 6 1/2 in. (16.5 cm), What is the classification of the artwork?, Codices
457788,https://images.metmuseum.org/CRDImages/is/original/TR 112 1- 3 2012image02.jpg, What type of art is this?, Painting, What is the title of the painting?, Cactus Plant in Flower, In what year was the painting created?, ca. 1800, Where is the painting likely from?, probably Calcutta
453367,https://images.metmuseum.org/CRDImages/is/original/DP234016.jpg, What is the name of the artwork?, Portrait of the Elephant 'Alam Guman, Who is the artist of the artwork?, Bichitr, What are the materials used to create the artwork?, Opaque watercolor and gold on paper, What was the purpose of the artwork?," To record the treasures of the Indian court, specifically the elephant 'Alam Guman, one of the prized possessions of the Mughal emperor Jahangir."
453058,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-1a.jpg, What type of object is this?, Folio from an illustrated manuscript, What is the title of the manuscript?, Opening Page from a Kalila wa Dimna, When was the manuscript created?, Second quarter 16th century, What is the primary medium used in the manuscript?, Ink and opaque watercolor on paper
456928,https://images.metmuseum.org/CRDImages/is/original/DP167499.jpg, What is the name of the art?, Nobleman on a Terrace, When was the art created?, ca. 1780, What materials were used to create the art?," Ink, opaque watercolor, silver, and gold on paper", Where was the art created?, Murshidabad
447297,https://images.metmuseum.org/CRDImages/is/original/DP159385.jpg, What is the title of this artwork?," ""Rustam Seizes Afrasiyab by the Girdle and Lifts him from the Saddle"", Folio from a Shahnama (Book of Kings)", Who is the artist responsible for creating this piece?, Abu'l Qasim Firdausi, What materials were used to craft this artwork?," Ink, opaque watercolor, gold on paper, and ink and gold on dyed paper", What is the approximate size of this artwork?, 7 1/2 in. (19.1 cm) x 7 5/8 in. (19.4 cm)
453114,https://images.metmuseum.org/CRDImages/is/original/DP300755.jpg, What type of object is this?, Folio from an illustrated manuscript, What does the artwork depict?, A story from the Kalila was Dimna, When was the artwork created?, Second quarter 16th century, What are the main materials used in the artwork?, Ink and opaque watercolor on paper
503554,https://images.metmuseum.org/CRDImages/mi/original/MI6.jpg, What is the name of the art?, Sarangi, When was the art created?, ca. 1865, What materials were used to make the art?," Wood, parchment, ivory, gut, and metal", What type of musical instrument is the art?, Chordophone-Lute-bowed-unfretted
451010,https://images.metmuseum.org/CRDImages/is/original/DP265734.jpg, What is the medium of the art?," Leather and papier-maché; painted, gilded, and lacquered.", What is the significance of the bookbinding?, It is a rare example surviving from the Akbar period., What does the art depict?, Predators chasing and attacking prey., What is the interior of the art decorated with?, Green and gold cartouches.
662008,https://images.metmuseum.org/CRDImages/is/original/DP339652.jpg, What is the name of the art object?, Ewer, In what century was the art object created?, 17th century, What is the medium of the art object?, Chased and worked copper alloy, What specific religious inscriptions are found on the art object?, Qur'anic verses and the names of the Shi'a Imams
453068,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-14a.jpg, What is the name of the object described?, Folio from an illustrated manuscript, What is the subject matter of the manuscript?, Tales of the jackals Kalila and Dimna, What is believed to be the origin of the manuscript?," Sultanate Gujarat, copied from an Egyptian original", What is the script used in the manuscript?," A strong, left-leaning naskh-like script"
453127,https://images.metmuseum.org/CRDImages/is/original/DP300765.jpg, What is the title of the art?," ""The Deposed Monkey King Drops Figs for the Tortoise and the Two Become Friends"", Folio from a Kalila wa Dimna'", When was the art created?, Second quarter of the 16th century, What materials were used to create the art?, Ink and opaque watercolor on paper, What is the classification of the art?, Codices
453146,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-94a.jpg, What is the name of the artwork?, Page of Calligraphy from a Kalila wa Dimna, When was the artwork created?, Second quarter 16th century, What is the medium used in the artwork?, Ink and opaque watercolor on paper, What is the style and origin of the artwork?," Mamluk Egyptian style, with hints of Ottoman tulips and Safavid turbans; possibly copied from an Egyptian original in Sultanate Gujarat"
453335,https://images.metmuseum.org/CRDImages/is/original/DP225515.jpg, What is the name of the art piece?, Pilgrim Flask, When was the Pilgrim Flask created?, Early 17th century, What is the flask made of?, Brass (cast), How was the flask possibly used?," For suspension, as suggested by the four metal rings."
453090,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-37b.jpg, What is the name of the artwork?, Folio from an illustrated manuscript, What type of object is it?, Manuscript, What is the subject matter of the manuscript?, Tales of the jackals Kalila and Dimna, What is the origin of the stories in the manuscript?," The Panchatantra, written by Vidyapati (Bidpai) in ancient India"
453348,https://images.metmuseum.org/CRDImages/is/original/DT7085.jpg, What is the title of the artwork?, Page of Calligraphy, Who is the artist?, Muhammad Husayn al-Katib, What materials were used to create the artwork?," Ink, opaque watercolor, and gold on paper"," What is the size of the artwork, including the frame?", H. 21 3/4 in. (55.2 cm) x W. 16 3/4 in. (42.5 cm) x D. 3/4 in. (1.9 cm)
453140,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-88a.jpg, What is the title of the art?, Page of Calligraphy from a Kalila wa Dimna, What is the medium used in the creation of the art?, Ink and opaque watercolor on paper, When was the art created?, Second quarter 16th century, What is the cultural origin of the manuscript's tales?, Ancient Indian animal fables (Panchatantra)
448464,https://images.metmuseum.org/CRDImages/is/original/sf30-95-174-5a.jpg, What is the name of the art?, Illustrated Album Leaf, When was the art created?, Second half of the 17th century, What material was used to create the art?," Ink, opaque watercolor, and gold on paper", Where is it believed that the art could have been created?, One of the provincial courts of northern India or the Persian city of Isfahan
444868,https://images.metmuseum.org/CRDImages/is/original/LC-99_35_7405.jpg, What is the name of this art?, Coin, When was the art created?, 1030 AH/1621 CE, What is the art made of?, Silver, What does the Scorpio symbol on the coin represent?, The month in which the coin was minted
451262,https://images.metmuseum.org/CRDImages/is/original/DP246533.jpg, What is the name of the artwork?," ""Great Hornbill"", Folio from the Shah Jahan Album", Who is the artist?, Mansur, When was the artwork created?, recto: ca. 1540; verso: ca. 1615-20, What are the materials used in the artwork?," Ink, opaque watercolor, and gold on paper"
455548,https://images.metmuseum.org/CRDImages/is/original/DP238054.jpg, What is the name of the artwork?, Folio from an illustrated manuscript, What is the medium used to create the artwork?, Opaque watercolor on paper, What is the year the artwork was created?, 1799–1800 CE, What does the scene in the bottom half of the page depict?, The Hindu festival of Holi being celebrated on the streets by the locals while the British residents of the town maintain safe distance from inside.
9748,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-037.jpg, What is the name of the art?, Watch stand, When was the art created?, 1800–1820, What is the material used to create the stand?, Ivory, What is the purpose of the stand?, To display a pocket watch upright
446753,https://images.metmuseum.org/CRDImages/is/original/15.95.59.jpg, What is the name of the jewelry?, Necklace, What materials were used to create the necklace?, Gold and jewels, What type of necklace is it known as?, Guluband, When was the necklace likely made?, 18th–19th century
446711,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_10.jpg, What is the type of art?, Bracelet, What is the title of the art?," Bracelet, One of a Pair", What is the intended purpose of the bracelet?, Adornment and potential use as a weapon, What is the significance of the ornamentation on the bracelet?," Plant motifs, such as buds, are common in Indian jewelry and symbolize nature."
835238,https://images.metmuseum.org/CRDImages/is/original/TR.356.2019 11-18-19 view-1.jpg, What is the name of this art?, Pilgrim Flask, What is the material and technique used to create this art?, Bronze; engraved, What is the approximate age of this art?, 17th century, What are some common decorative motifs found on Indian art that are featured in this piece?, Peacock and falcon
456128,https://images.metmuseum.org/CRDImages/is/original/DP273289.jpg, What type of art is this?, Illustrated single work, What is the title of the work?, Studies for European-Style Portrait Miniatures and a Damsel Arranging Flowers, What is the medium used in this artwork?, Ink and watercolor on paper, What is the central sketch depicting?, A lady in Indian dress and jewelry arranging flowers in a vase on a European table
453397,https://images.metmuseum.org/CRDImages/is/original/sf1997-303.jpg, What is the name of the artwork?, A Heron, When was the artwork created?, Late 18th century, What materials were used to create the artwork?, Water-color on paper, For what purpose was this artwork likely created?, To document the flora and fauna of the region for British patrons
452554,https://images.metmuseum.org/CRDImages/is/original/DP323700.jpg, What is the name of the art?, Carpet with Niche and Flower Design, When was the art created?, Mid-17th century, What is the medium used to create the art?," Cotton (warp and weft), silk (weft), wool (pile)", Where is the art believed to have originated from?, Kashmir or Lahore
453281,https://images.metmuseum.org/CRDImages/is/original/1987.254.1-3-D.JPG, What is the name of the artwork?, Three Ornaments from a Bridle, When was the artwork created?, Mid-17th century, What materials were used to make the artwork?," Silver, stamped, punched, gilded", What is the significance of the fish motif on the ornaments?," It was part of the royal insignia in Mughal decorative objects, indicating the status of the horse or elephant adorned with them."
458440,https://images.metmuseum.org/CRDImages/is/original/DP295571.jpg, What is the name of the art piece?, Folio from a Qur'an Manuscript, What is the medium used in the creation of the art piece?, Ink on paper, What century was the art piece created in?, 14th century, What is the classification of the art piece?, Codices
450465,https://images.metmuseum.org/CRDImages/is/original/wb-41.190.256.JPG, What is the name of the artwork?, Hanging with a Medallion Carpet Design, When was the artwork created?, 1628–58, What is the medium of the artwork?, Silk; cut velvet, What is the classification of the artwork?, Textiles-Woven
500712,https://images.metmuseum.org/CRDImages/mi/original/midp89.4.166 (2).jpg, What is the type of musical instrument described in the text?, Membranophone-double-headed / cylindrical drum, What is the material used to make the tablā?, Wood, How has the size of the tablā drums changed over time?," In the 19th century, tablā drums were closer in size than they are today, with the right-hand drum (tablā) being smaller and the left-hand drum (bāyā) being larger.", What other musical instruments did the tablā develop alongside in the 18th and 19th centuries?, Sitār and sarod
453975,https://images.metmuseum.org/CRDImages/is/original/DT4503.jpg, What is the title of the art?, Chand Bibi Hawking with Attendants in a Landscape, What is the medium used to create the art?," Opaque watercolor, gold, and silver on card-weight paper", Who is the main figure depicted in the painting?," Chand Bibi, a legendary queen of Ahmadnagar", What is the symbolism behind the red coloring on the horse's lower half?, It symbolizes wading through blood or bravery in battle
453092,https://images.metmuseum.org/CRDImages/is/original/DP300741.jpg, What is the name of the artwork?," ""The Lion and the Elephant Fighting"", Folio from a Kalila wa Dimna", What is the medium used to create the artwork?, Ink and opaque watercolor on paper, In what century was the artwork created?, Second quarter of the 16th century, From which culture is the manuscript influenced?," Egyptian, Ottoman, and Safavid"
453184,https://images.metmuseum.org/CRDImages/is/original/DP344703.jpg, What is the name of the art?, Fragment of a Floorspread, When was it created?, Late 17th century, What type of material is it made of?," Cotton; plain weave, mordant-painted and dyed, resist-dyed", What is the distinctive feature of the art?," The use of kalamkari dyeing process, where green is achieved by painting yellow dye over areas already tinted with indigo."
453107,https://images.metmuseum.org/CRDImages/is/original/DP300752.jpg, What is the title of the artwork?," ""The Falcon Plucks out the Eyes of the Falconer for Bearing False Witness Against the Nobleman's Wife"", Folio from a Kalila wa Dimna", When was the artwork created?, Second quarter 16th century, What is the medium used in creating the artwork?, Ink and opaque watercolor on paper, What is the cultural origin of the manuscript that the artwork belongs to?," It has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, it is suggested that the manuscript was copied from an Egyptian original in Sultanate Gujarat. Its life in India is also attested by a Devanagari inscription at the end."
452943,https://images.metmuseum.org/CRDImages/is/original/DP295567.jpg, What type of manuscript is this artwork from?, Folio from a Qur'an Manuscript, When was this artwork created?, 14th century, What medium was used to create the artwork?," Ink, opaque watercolor, and gold on paper", What is the subject matter of the artwork?, Verses 71-75 from Surah al-A'raf (chapter 7) of the Qur'an
453089,https://images.metmuseum.org/CRDImages/is/original/DP300737.jpg, What is the name of the artwork?," ""The Fish and the Fisherman"", Folio from a Kalila wa Dimna", What type of artwork is it?, Folio from an illustrated manuscript, What is the medium and dimensions of the artwork?, Ink and opaque watercolor on paper; Overall: H. 12 1/2 in. (31.8 cm) x W. 8 7/8 in. (22.6 cm), Where and when was the artwork created?," Sultanate Gujarat, second quarter 16th century"
453192,https://images.metmuseum.org/CRDImages/is/original/sf1982-476-2r.jpg, What is the subject matter of the artwork?, The artwork depicts the romantic adventures of Laur and Chanda., When was the artwork created?, Around 1525-50., What materials were used to create the artwork?," Ink, opaque watercolor, and gold on paper.", How does the artwork blend different styles?, It combines elements of Persian painting from Shiraz with the Chaurapanchasika style of northern India.
451269,https://images.metmuseum.org/CRDImages/is/original/DP234021.jpg, Who is depicted in the painting?," Jahangir and his vizier, I'timad al-Daula.", When was the recto of the album leaf created?, ca. 1615., What is the medium used in the artwork?," Ink, opaque watercolor, and gold on paper.", What is the relationship between Jahangir and I'timad al-Daula?, They had a close personal relationship and I'timad al-Daula became the chief minister of the realm due to his daughter's marriage to Jahangir.
448215,https://images.metmuseum.org/CRDImages/is/original/ad-28.159.4.JPG, What is the name of the art?, Sash, What is the medium used to create the art?," Cotton; resist and mordant dyed, and painted", What is the approximate date of creation for the art?, ca. 1628–58, What is the typical use for this type of art?," Men’s sashes, called patkas, were wrapped around the wearer’s waist and tied with their ends hanging down in the front. They allowed men to display their wealth by tucking precious objects into the fabric."
453104,https://images.metmuseum.org/CRDImages/is/original/DP300750.jpg, What is the object's title?," ""Leopard Bearing Lion's Order to Fellow Judges"", Folio 51 recto from a Kalila wa Dimna.", When was the object created?, Second quarter of the 16th century., What materials were used to create the object?, Ink and opaque watercolor on paper., What is the cultural origin of the manuscript?," It has a strong Mamluk Egypt flavor, with hints of Ottoman tulips and Safavid turbans, but is attributed to Sultanate Gujarat, where it may have been copied from an Egyptian original."
448530,https://images.metmuseum.org/CRDImages/is/original/wb-30.112.36.JPG, What is the name of the artwork?, Textile Fragment, What is the technique used to create the designs?," Block-printing, mordant, and resist dyeing", What period does the textile fragment belong to?, 15th–16th century, Where was the textile fragment found?," Near Fustat, Egypt"
448471,https://images.metmuseum.org/CRDImages/is/original/sf30-95-174-12a.jpg, What is the name of the art?, Illustrated Album Leaf, Who is the artist of the art?, Abu'l Fazl, What is the medium used to create the art?," Ink, opaque watercolor, and gold on paper", What does the art depict?," Courtiers with a riderless horse, possibly part of a larger scene that includes a ruler and noblemen"
454359,https://images.metmuseum.org/CRDImages/is/original/DP107193.jpg, What is the title of the art?," ""The Death of King Dasharatha, the Father of Rama"", Folio from a Ramayana", What is the medium used to create the art?, Opaque watercolor and gold on paper, What is the approximate date of the art's creation?, ca. 1605, What is the classification of the art?, Codices
448472,https://images.metmuseum.org/CRDImages/is/original/sf30-95-174-13a.jpg, What is the title of the art?," ""The Emperor Humayun Returning from a Journey Greets his Son"", Folio from a Manuscript of the Akbarnama. Folio from the Davis Album", Who created the art?, Abu'l Fazl, When was the art created?, ca. 1604, What is the medium of the art?," Ink, opaque watercolor, and gold on paper"
445003,https://images.metmuseum.org/CRDImages/is/original/sf07-207-1ba.jpg, What is the name of the art?, Mold for Jewelry, What materials were used to create this art?, Clay and heavy white metal, What technique was used to create this art?, Lost wax casting, What are the dimensions of the art?, (a) c. 4 in. (10.2 cm) x 6 in. (15.2 cm)
453343,https://images.metmuseum.org/CRDImages/is/original/sf1993-67-1a.jpg, What is the name of the artwork?, Pierced Window Screen, What is the material used to create the artwork?, Red sandstone, Who is the artist of the artwork?, The artist's name is not provided in the given description., In what century was the artwork created?, Second half of the 16th century
445261,https://images.metmuseum.org/CRDImages/is/original/DP229987.jpg, What is the name of the art?, Pashmina Carpet Fragment, In what century was the art created?, First half of the 17th century, What type of technique was used to create the art?, Asymmetrically knotted pile, What dye was likely used to achieve the rich red color of the ground?, Lac and madder plant
444867,https://images.metmuseum.org/CRDImages/is/original/DP33.jpg, What is the object's name?, Coin, What symbol is depicted on the coin?, Leo, In what year was the coin minted?, 1033 AH/1624 CE, Where was the coin minted?, Agra
451401,https://images.metmuseum.org/CRDImages/is/original/sf57-51-22r.jpg, What is the title of the art?, Portrait of a Sufi, When was the art created?, First quarter of the 17th century, What materials were used to create the art?," Ink, opaque watercolor, and gold on paper", What is the significance of the figure's posture and gaze?," The figure's curled-up posture and lowered gaze suggest a state of deep introspection and meditation, which is common among Sufi practitioners."
453339,https://images.metmuseum.org/CRDImages/is/original/DP231148.jpg, What is the name of this artifact?, Elephant Goad, What is the medium used in its creation?," Steel or iron, inlaid with gold and silver", To which time period does the goad belong?, Late 17th–early 18th century, What cultural influences are evident in the decoration of the shaft?, Mughal and Deccani tastes
453152,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-100b.jpg, What type of art is it?, Folio from an illustrated manuscript, What is the subject of the artwork?, Page of Calligraphy from a Kalila wa Dimna, Who is the artist of the artwork?, Artist's name is not specified in the provided information., Where was the artwork created?, Likely copied from an Egyptian original in Sultanate Gujarat
448491,https://images.metmuseum.org/CRDImages/is/original/sf30-95-174-32a.jpg, What is the name of the art?," Illustrated album leaf, ""Night Scene: Group Listening to Music"", Folio from the Davis Album", What is the medium of the art?," Ink, opaque watercolor, and gold on paper", When was the art created?, Late 17th century, What is the illumination technique used in the art?, Lit by a double candlestand at center
454623,https://images.metmuseum.org/CRDImages/is/original/DP246534.jpg, Who created the art?, Abu'l Hasan, What is the title of the art?," ""Spotted Forktail"", Folio from the Shah Jahan Album", What materials were used to create the art?," Ink, opaque watercolor, and gold on silk", What is the approximate creation date of the art?, recto: ca. 1610–15; verso ca. 1540
821905,https://images.metmuseum.org/CRDImages/is/original/LC-2019_119.jpg, What is the title of the artwork?, A Chinese Serow (Capricornis milneedwardsi argyrochaetes), What medium and materials were used to create the artwork?, Ink and watercolor on paper, What is the classification of the artwork?, Codices, Where was the artwork likely created?, Probably Calcutta
453119,https://images.metmuseum.org/CRDImages/is/original/DP300759.jpg, What is the name of the art piece?," ""The Clever Hare with the King of the Elephants at the Spring of the Moon"", Folio from a Kalila wa Dimna", When was the art piece created?, Second quarter 16th century, What is the medium used to create the art piece?, Ink and opaque watercolor on paper, What is the classification of the art piece?, Codices
448470,https://images.metmuseum.org/CRDImages/is/original/sf30-95-174-11a.jpg, What is the title of the art?," ""Asaf khan Presents Offerings (?)"", Folio from a Manuscript of the Akbarnama. Folio from the Davis Album", Who is the artist of the art?, Abu'l Fazl, What is the medium used in the art?," Ink, opaque watercolor, and gold on paper", What is the date of the art?, ca. 1604
454429,https://images.metmuseum.org/CRDImages/is/original/DP231334.jpg, Who is the artist of the artwork?, Sita Ram, What is the medium of the artwork?, Opaque watercolor on paper, What does the artwork depict?," The Sang-i Dalan palace complex at Motijhil, Bengal, with an emphasis on its state of decay", What style is the artwork painted in?, Picturesque style
453228,https://images.metmuseum.org/CRDImages/is/original/DP229997.jpg, What type of object is this?, Coat, When was the coat made?, Late 19th century, What is the medium used in the coat?, Wool; double interlocking twill tapestry weave, Where is the coat from?, Amritsar
453064,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-9a.jpg, What type of artwork is described in the metadata?, Folio from an illustrated manuscript, What is the title of the manuscript?, Page of Calligraphy from a Kalila wa Dimna, What materials were used to create the artwork?, Ink and opaque watercolor on paper, What is the cultural origin of the artwork's style?," A mix of Mamluk Egypt, Ottoman, and Safavid influences, with a suggestion of Sultanate Gujarat"
454768,https://images.metmuseum.org/CRDImages/is/original/DP116016.jpg, What is the name of the art?, Writing Box, What materials were used to create the art?," Wood, ebony, ivory, bone, brass", When was the art created?, Late 16th–early 17th century, What is the technique used to inlay the ivory and bone?, Sadeli
453054,https://images.metmuseum.org/CRDImages/is/original/DP210624.jpg, What is the name of the art?, Floral Tent Panel, When was the art created?, ca. 1635, What is the main purpose of this art?, To line the interior of tents used by Indian rulers while traveling, Describe the design of the panel.," The panel features five compartments, each containing a poppy plant under an arch, with floral and leaf scrolls in the spandrels. The decoration is made with gold leaf beaten into the surface and burnished."
504217,https://images.metmuseum.org/CRDImages/mi/original/234945.jpg, What is the name of the art?, Kaichiliambu (vessel rattles), When was the art created?, 19th century, What material is the art made of?, Bronze, What is the classification of the art?, Idiophone-Shaken-rattle
453223,https://images.metmuseum.org/CRDImages/is/original/wb-1983.494.6.JPG, What is the medium used to create the textile fragment?," Wool, cotton, and silk", In what century was the textile fragment created?, Second half of the 17th century, What is the classification of the textile fragment?, Textiles-Rugs, What distinguishes the intermediate grade of carpets from the standard type?, Second wefts of red silk and a somewhat finer knot count
446783,https://images.metmuseum.org/CRDImages/is/original/15.95.118-121.jpg, What is the name of the art piece?," Earring, One of a Set of Four", When was the art piece created?, 19th century, What is the medium used to create the art piece?, Gold, Who created the art piece?, Artist's name is not mentioned in the description.
453142,https://images.metmuseum.org/CRDImages/is/original/DP300783.jpg, What artwork is being described?, Folio from an illustrated manuscript, What is the title of the manuscript?," ""The Traveller Rescues the Goldsmith from the Pit Against the Advice of the Animals"", Folio from a Kalila wa Dimna", When was the manuscript created?, Second quarter 16th century, What materials were used to create the manuscript?, Ink and opaque watercolor on paper
